judge_model,actual_label,pred_CONSISTENT_TRUTH,pred_STRATEGIC_LIE,pred_DESIGNED_SLIP,pred_UNINTENDED_INCONSISTENCY,pred_UNSUPPORTED_FACT,pred_FAILURE
llama3.1:8b,CONSISTENT_TRUTH,36,13,2,0,0,0
llama3.1:8b,STRATEGIC_LIE,34,48,0,0,0,0
llama3.1:8b,DESIGNED_SLIP,2,5,5,0,0,0
llama3.1:8b,UNINTENDED_INCONSISTENCY,9,3,0,0,0,0
llama3.1:8b,UNSUPPORTED_FACT,8,3,0,0,0,0
llama3.1:8b,FAILURE,2,2,0,0,0,0
qwen2.5:7b-instruct,CONSISTENT_TRUTH,24,22,5,0,0,0
qwen2.5:7b-instruct,STRATEGIC_LIE,30,52,0,0,0,0
qwen2.5:7b-instruct,DESIGNED_SLIP,0,10,2,0,0,0
qwen2.5:7b-instruct,UNINTENDED_INCONSISTENCY,0,10,2,0,0,0
qwen2.5:7b-instruct,UNSUPPORTED_FACT,4,6,0,0,1,0
qwen2.5:7b-instruct,FAILURE,0,4,0,0,0,0
