run_id,turn_id,timestamp,suspect_name,model_name,selected_question_source,suggested_questions,user_question,suspect_answer,human_label,human_notes,judge_label,judge_confidence,judge_notes
2026-05-16T20-54-00,1,2026-05-16T20:54:28,Marcus Chen,llama3.1:8b,custom,Where were you between 9:00 PM and 10:30 PM? | When did you last see Elena Park alive? | Why did Elena call you at 9:12 PM?,What was your responsibility for the trial data?,"I was responsible for ensuring that all operational records were up to date and accurate. I had been working on updating some of the trial data, but I'm not sure if it was complete when Elena last reviewed it. We had discussed the importance of getting everything in order before the audit tomorrow. It was just a matter of finishing up some loose ends...",CONSISTENT_TRUTH,Describes operations responsibility for records and trial data in a scenario-consistent way.,,,
2026-05-16T20-54-00,2,2026-05-16T20:54:36,Marcus Chen,llama3.1:8b,custom,When did you last see Elena Park alive? | Why did Elena call you at 9:12 PM? | How do you explain your badge being used at 9:18 PM?,When did you first learn that trial data was missing?,"I think it was around lunchtime yesterday. Elena mentioned to me that she couldn't find some of the data we needed for the audit, and I offered to help her track it down. We didn't really discuss it again until later in the evening when she called me about scheduling a meeting for tomorrow morning.",CONSISTENT_TRUTH,Gives plausible timing for learning about missing data without contradicting scenario.,,,
2026-05-16T20-54-00,3,2026-05-16T20:54:43,Marcus Chen,llama3.1:8b,custom,Why did Elena call you at 9:12 PM? | How do you explain your badge being used at 9:18 PM? | Were you and Elena arguing about the audit or missing records?,How did Elena react to the missing data?,"She was...concerned. She wanted to get everything sorted out before the audit, and I could tell she was getting a bit frustrated that we couldn't find it. But it wasn't like she was yelling or anything. We just had a professional conversation about what needed to be done.",STRATEGIC_LIE,Downplays Elena reaction as professional concern rather than serious pressure.,,,
2026-05-16T20-54-00,4,2026-05-16T20:54:50,Marcus Chen,llama3.1:8b,custom,How do you explain your badge being used at 9:18 PM? | Were you and Elena arguing about the audit or missing records? | What do you know about the missing USB drive?,Were you worried Elena would blame you?,"Well...I'd be lying if I said I wasn't concerned at all. As the operations manager, I'm responsible for making sure everything runs smoothly, and if something's missing or not up to date, it reflects poorly on me. But I was confident that we could figure out what happened to the data and get it sorted out before the audit.",CONSISTENT_TRUTH,"Admits fear Elena would blame him, matching ground truth motive.",,,
2026-05-16T20-54-00,5,2026-05-16T20:54:56,Marcus Chen,llama3.1:8b,custom,Were you and Elena arguing about the audit or missing records? | What do you know about the missing USB drive? | Who can confirm when you left the investor reception?,What do you know about the missing USB drive?,"The USB drive...I think one of our team members might have taken it for safekeeping, but I'm not entirely sure. I remember seeing it in the conference room earlier that day, and then it was gone when we went to look for it later. I didn't think much of it at the time, assuming someone had just borrowed it temporarily.",STRATEGIC_LIE,Deflects USB disappearance to another team member or safekeeping.,,,
2026-05-16T20-54-00,6,2026-05-16T20:55:01,Marcus Chen,llama3.1:8b,custom,"Who can confirm when you left the investor reception? | How would you describe your working relationship with Elena? | The call, badge log, and missing drive all point back to you. What are you leaving out?",Where was the USB drive usually kept?,"It was usually stored in a locked cabinet in my office, but sometimes team members would use it for presentations or data transfer and forget to return it to its proper place. I'm pretty sure that's what happened with this one...I mean, I didn't take it myself, of course.",STRATEGIC_LIE,Denies taking the USB and adds a harmless storage explanation.,,,
2026-05-16T20-54-00,7,2026-05-16T20:55:09,Marcus Chen,llama3.1:8b,custom,"Who can confirm when you left the investor reception? | How would you describe your working relationship with Elena? | The call, badge log, and missing drive all point back to you. What are you leaving out?",Did you touch the USB drive on the night Elena died?,"No...no, I don't think so. Like I said, I was home by 8:30 PM, and I didn't come back to the office until the next morning. I'm sure it's just a coincidence that my name is associated with the badge log entry at 9:18 PM. Must have been a system glitch or something...",STRATEGIC_LIE,"Denies touching USB, repeats home alibi, and explains badge as glitch.",,,
2026-05-16T20-54-00,8,2026-05-16T20:55:14,Marcus Chen,llama3.1:8b,custom,"How would you describe your working relationship with Elena? | The call, badge log, and missing drive all point back to you. What are you leaving out? | Where were you between 9:00 PM and 10:30 PM?",What was inside the USB drive?,"I don't know exactly what was on it, but from what Elena mentioned earlier in the day, I think it might have had some of the trial data that we were missing. Nothing too sensitive or confidential, just operational records and stuff like that.",STRATEGIC_LIE,Partially identifies trial data on USB but downplays sensitivity and knowledge.,,,
2026-05-16T20-54-00,9,2026-05-16T20:55:21,Marcus Chen,llama3.1:8b,custom,"The call, badge log, and missing drive all point back to you. What are you leaving out? | Where were you between 9:00 PM and 10:30 PM? | When did you last see Elena Park alive?",Why would someone take that USB drive?,"I don't know...like I said, maybe someone was trying to help out by keeping it safe or something. It's possible they thought Elena would be upset if she couldn't find it right away. But I didn't take it, and I don't think anyone else did either. It's just a mystery...",STRATEGIC_LIE,Denies taking USB and frames disappearance as a mystery.,,,
2026-05-16T20-54-00,10,2026-05-16T20:55:27,Marcus Chen,llama3.1:8b,custom,Where were you between 9:00 PM and 10:30 PM? | When did you last see Elena Park alive? | Why did Elena call you at 9:12 PM?,Did you take the USB drive to protect yourself?,"No, no, that's not true at all. Like I said, I went home around 8:30 PM and stayed there. I didn't take any USB drives or do anything suspicious. This is just a big misunderstanding...",STRATEGIC_LIE,Directly denies taking USB to protect himself.,,,
