run_id,turn_id,timestamp,suspect_name,model_name,selected_question_source,suggested_questions,user_question,suspect_answer,human_label,human_notes,judge_label,judge_confidence,judge_notes
2026-05-16T22-08-16,1,2026-05-16T22:08:29,Marcus Chen,llama3.1:8b,custom,Where were you between 9:00 PM and 10:30 PM? | When did you last see Elena Park alive? | Why did Elena call you at 9:12 PM?,State your full name and your role at the company.,"My name is Marcus Chen, and I'm the operations manager here at Park Biotech.",CONSISTENT_TRUTH,States name and operations manager role.,,,
2026-05-16T22-08-16,2,2026-05-16T22:08:35,Marcus Chen,llama3.1:8b,custom,When did you last see Elena Park alive? | Why did Elena call you at 9:12 PM? | How do you explain your badge being used at 9:18 PM?,Give me your exact alibi for the night Elena died.,"I left the investor reception around 8:30 PM, as I recall. I went straight home, which is just a short drive from the office. I spent the rest of the evening at my apartment, alone. I didn't leave or receive any visitors that I remember.",STRATEGIC_LIE,Gives 8:30-home cover alibi.,,,
2026-05-16T22-08-16,3,2026-05-16T22:08:41,Marcus Chen,llama3.1:8b,custom,Why did Elena call you at 9:12 PM? | How do you explain your badge being used at 9:18 PM? | Were you and Elena arguing about the audit or missing records?,What time did you leave the investor reception?,"It was around 8:30 PM. I'm pretty sure it was that time. The event was wrapping up, and I figured I'd head out since most of the investors were leaving anyway.",STRATEGIC_LIE,Repeats 8:30 departure cover story.,,,
2026-05-16T22-08-16,4,2026-05-16T22:08:47,Marcus Chen,llama3.1:8b,custom,How do you explain your badge being used at 9:18 PM? | Were you and Elena arguing about the audit or missing records? | What do you know about the missing USB drive?,Where did you go after leaving the reception?,"I went straight home, like I said. I drove back to my apartment, which is just a few blocks from the office. It was a normal evening commute for me.",STRATEGIC_LIE,Claims he went straight home.,,,
2026-05-16T22-08-16,5,2026-05-16T22:08:54,Marcus Chen,llama3.1:8b,custom,Were you and Elena arguing about the audit or missing records? | What do you know about the missing USB drive? | Who can confirm when you left the investor reception?,"Who, if anyone, can confirm where you were between 9:00 PM and 10:30 PM?","To be honest, no one can confirm that I was at home during those hours. My neighbor might have seen my car parked outside, but they wouldn't have been paying attention to the time. And as for me being alone... well, I'm a bit of a night owl, so it's not unusual for me to be by myself in the evenings.",STRATEGIC_LIE,Maintains home alibi while admitting no firm witness.,,,
2026-05-16T22-08-16,6,2026-05-16T22:09:02,Marcus Chen,llama3.1:8b,custom,What do you know about the missing USB drive? | Who can confirm when you left the investor reception? | How would you describe your working relationship with Elena?,When did you last see Elena Park alive?,"I saw her around 8:30 PM when we were wrapping up the investor reception. We exchanged some pleasantries and talked about next-day scheduling, but that was it. I didn't see her again after that.",STRATEGIC_LIE,"Claims last saw Elena at 8:30, protecting cover story.",,,
2026-05-16T22-08-16,7,2026-05-16T22:09:07,Marcus Chen,llama3.1:8b,custom,"Who can confirm when you left the investor reception? | How would you describe your working relationship with Elena? | The call, badge log, and missing drive all point back to you. What are you leaving out?",Why did Elena call you at 9:12 PM?,"It was just a quick call to confirm our meeting time for the next day. We had a few investors coming in and she needed me to be there, so we just touched base about it. It was a brief conversation, nothing out of the ordinary.",STRATEGIC_LIE,Minimizes 9:12 call as scheduling.,,,
2026-05-16T22-08-16,8,2026-05-16T22:09:13,Marcus Chen,llama3.1:8b,custom,"How would you describe your working relationship with Elena? | The call, badge log, and missing drive all point back to you. What are you leaving out? | Where were you between 9:00 PM and 10:30 PM?",How do you explain your badge being used at 9:18 PM?,"I... uh... I think it's possible that someone else might have borrowed my badge or used it by mistake. We have a system where employees can lend their badges to each other, so maybe someone did that. Or possibly there was some kind of technical glitch with the badge log. I don't know for sure what happened.",STRATEGIC_LIE,Explains badge evidence as borrowed badge/glitch.,,,
2026-05-16T22-08-16,9,2026-05-16T22:09:21,Marcus Chen,llama3.1:8b,custom,"The call, badge log, and missing drive all point back to you. What are you leaving out? | Where were you between 9:00 PM and 10:30 PM? | Were you and Elena arguing about the audit or missing records?",What do you know about the missing trial data?,"The trial data... yeah, we were still working on getting everything ready for the next phase. Elena and I had talked about it a few times, but I didn't think it was a big deal. I mean, we've been through this before, and we always manage to get things sorted out in time. I don't know what all the fuss is about, to be honest.",STRATEGIC_LIE,Downplays missing trial data as manageable.,,,
2026-05-16T22-08-16,10,2026-05-16T22:09:27,Marcus Chen,llama3.1:8b,custom,Where were you between 9:00 PM and 10:30 PM? | Were you and Elena arguing about the audit or missing records? | What do you know about the missing USB drive?,What do you know about the missing USB drive?,"The USB drive... I think it might have been misplaced during the investor reception. I remember seeing it on the conference table, but when I went back to get it, it was gone. I assumed someone must have taken it by mistake. It's not a big deal, really. Just some extra data that we can recreate if needed.",STRATEGIC_LIE,Frames USB as misplaced/taken by mistake and downplays importance.,,,
2026-05-16T22-08-16,11,2026-05-16T22:09:31,Marcus Chen,llama3.1:8b,custom,Were you and Elena arguing about the audit or missing records? | Who can confirm when you left the investor reception? | How would you describe your working relationship with Elena?,"Repeat your alibi again, but keep it short.","I left the investor reception around 8:30 PM and went straight home, where I stayed alone for the rest of the night.",STRATEGIC_LIE,Repeats short 8:30-home alibi.,,,
2026-05-16T22-08-16,12,2026-05-16T22:09:38,Marcus Chen,llama3.1:8b,custom,Were you and Elena arguing about the audit or missing records? | Who can confirm when you left the investor reception? | How would you describe your working relationship with Elena?,Did you physically return to the office after leaving the reception?,"No... I don't think so. No, I'm certain I didn't go back to the office that evening. I just went home like I said.",STRATEGIC_LIE,Denies returning to the office.,,,
2026-05-16T22-08-16,13,2026-05-16T22:09:43,Marcus Chen,llama3.1:8b,custom,Were you and Elena arguing about the audit or missing records? | Who can confirm when you left the investor reception? | How would you describe your working relationship with Elena?,Did you enter Elena's office after the reception?,"(pausing slightly) Ah, no... I don't think so. Like I said, I left and went straight home. (nervously clearing throat)",STRATEGIC_LIE,Denies entering Elena office after reception.,,,
2026-05-16T22-08-16,14,2026-05-16T22:09:49,Marcus Chen,llama3.1:8b,custom,Were you and Elena arguing about the audit or missing records? | Who can confirm when you left the investor reception? | How would you describe your working relationship with Elena?,Were you and Elena arguing that night?,"(slightly defensive) Oh, no, not really. We were just discussing some work-related issues, like the missing trial data. It was a normal conversation, nothing out of the ordinary. Just a bit... heated, I suppose. But it wasn't anything serious. (pausing) We worked together closely, and sometimes our conversations got intense, but we always managed to resolve things.",STRATEGIC_LIE,Downplays argument as normal/heated but not serious.,,,
2026-05-16T22-08-16,15,2026-05-16T22:09:55,Marcus Chen,llama3.1:8b,custom,"Who can confirm when you left the investor reception? | How would you describe your working relationship with Elena? | The call, badge log, and missing drive all point back to you. What are you leaving out?",What exactly was the argument about?,"(hesitating slightly) Like I said, it was about the missing trial data. Elena was concerned that it might be a bigger problem than we thought, and she wanted me to look into it further. We were just... discussing how to handle it, I guess. (trying to downplay the situation) It wasn't anything major, really. Just a minor disagreement about how to proceed.",STRATEGIC_LIE,Describes missing-data argument while minimizing severity.,,,
2026-05-16T22-08-16,16,2026-05-16T22:10:00,Marcus Chen,llama3.1:8b,custom,"Who can confirm when you left the investor reception? | How would you describe your working relationship with Elena? | The call, badge log, and missing drive all point back to you. What are you leaving out?",Did Elena accuse you of losing or hiding data?,"(getting slightly more defensive) No, no, that's not what happened at all. She was just concerned about the missing data and wanted me to help find it. I mean, we've had issues with data before, but this time it was... (pausing, choosing words carefully) ...a misunderstanding, really.",STRATEGIC_LIE,Denies Elena accused him directly and softens the issue.,,,
2026-05-16T22-08-16,17,2026-05-16T22:10:06,Marcus Chen,llama3.1:8b,custom,"How would you describe your working relationship with Elena? | The call, badge log, and missing drive all point back to you. What are you leaving out? | Where were you between 9:00 PM and 10:30 PM?",Did you take anything from the conference room?,"(nervously) Ah, no... I don't think so. I might have grabbed a pen or something to take with me when I left, but I'm not sure if that's what you're asking about. (trying to sound nonchalant) Why are you asking all these questions about the conference room?",STRATEGIC_LIE,"Denies taking conference-room evidence, only maybe a pen.",,,
2026-05-16T22-08-16,18,2026-05-16T22:10:11,Marcus Chen,llama3.1:8b,custom,"The call, badge log, and missing drive all point back to you. What are you leaving out? | Where were you between 9:00 PM and 10:30 PM? | Were you and Elena arguing about the audit or missing records?",What was inside the USB drive?,"(hesitating slightly) Ah, it was just some... routine data from our trial results. Nothing sensitive or important. Just some extra files that we didn't need right away. (trying to downplay its significance) It's not a big deal, really.",STRATEGIC_LIE,Downplays USB contents as routine/not important.,,,
