run_id,turn_id,timestamp,suspect_name,model_name,selected_question_source,suggested_questions,user_question,suspect_answer,human_label,human_notes,judge_label,judge_confidence,judge_notes
2026-05-16T22-06-17,1,2026-05-16T22:06:35,Marcus Chen,llama3.1:8b,custom,Where were you between 9:00 PM and 10:30 PM? | When did you last see Elena Park alive? | Why did Elena call you at 9:12 PM?,What was your job at the company?,"I was the operations manager. My main responsibility was to oversee the day-to-day activities of the company, including managing schedules, coordinating projects, and ensuring that everything ran smoothly. I worked closely with Elena on various tasks, but we didn't always see eye-to-eye on some things.",CONSISTENT_TRUTH,States operations manager role and workplace disagreements.,,,
2026-05-16T22-06-17,2,2026-05-16T22:06:42,Marcus Chen,llama3.1:8b,custom,When did you last see Elena Park alive? | Why did Elena call you at 9:12 PM? | How do you explain your badge being used at 9:18 PM?,How long had you worked with Elena?,"I'd worked with Elena for about three years. We started the company together, actually. She was the founder and CEO, and I came in to help her get everything off the ground. We've had a good working relationship overall, but like any team, we've had our disagreements over the years.",UNSUPPORTED_FACT,"Adds that Marcus and Elena started the company together, not established in scenario.",,,
2026-05-16T22-06-17,3,2026-05-16T22:06:48,Marcus Chen,llama3.1:8b,custom,Why did Elena call you at 9:12 PM? | How do you explain your badge being used at 9:18 PM? | Were you and Elena arguing about the audit or missing records?,What was the investor reception for?,"It was just a routine meeting with some potential investors who were interested in putting more money into the company. Elena was trying to secure additional funding to help us move forward with some of our projects. I didn't attend the whole thing, though - I left around 8:30 PM when it seemed like everything was wrapping up.",STRATEGIC_LIE,Uses 8:30 departure cover story in background account.,,,
2026-05-16T22-06-17,4,2026-05-16T22:06:54,Marcus Chen,llama3.1:8b,custom,How do you explain your badge being used at 9:18 PM? | Were you and Elena arguing about the audit or missing records? | What do you know about the missing USB drive?,How did the reception go?,"It went well, from what I could tell. The investors were interested in what we had to offer, and Elena presented some of our key projects. I didn't stick around for the whole thing, so I don't know if there were any major deals made or anything like that. But overall, it seemed like a successful evening.",CONSISTENT_TRUTH,Gives benign reception description without key contradiction.,,,
2026-05-16T22-06-17,5,2026-05-16T22:06:59,Marcus Chen,llama3.1:8b,custom,Were you and Elena arguing about the audit or missing records? | What do you know about the missing USB drive? | Who can confirm when you left the investor reception?,How would you describe Elena as a manager?,"Elena was... intense. She had high standards and expected a lot from her team. Sometimes she could be a bit... abrasive, I guess is the word. We'd have disagreements about how to approach certain problems or projects, but that's just part of working with someone who's as driven as she was.",CONSISTENT_TRUTH,"Describes Elena as intense and conflict-prone, broadly consistent.",,,
2026-05-16T22-06-17,6,2026-05-16T22:07:06,Marcus Chen,llama3.1:8b,custom,What do you know about the missing USB drive? | Who can confirm when you left the investor reception? | How would you describe your working relationship with Elena?,Were there any problems at the company that week?,"Well, we were still dealing with some issues related to our trial data. We'd had a bit of a setback and were trying to figure out what went wrong. Elena was... concerned about it, let's say. She wanted answers quickly, which put some pressure on me and the rest of the team.",CONSISTENT_TRUTH,"Mentions trial-data issues and pressure, matching scenario.",,,
2026-05-16T22-06-17,7,2026-05-16T22:07:12,Marcus Chen,llama3.1:8b,custom,"Who can confirm when you left the investor reception? | How would you describe your working relationship with Elena? | The call, badge log, and missing drive all point back to you. What are you leaving out?",Was Elena worried about anything?,"She was definitely worried about the audit that was coming up. I think she was concerned that we might not be as prepared as we should be, given what had happened with the trial data. She wanted to make sure everything was in order before the auditors arrived. That's all. Just standard business stuff.",CONSISTENT_TRUTH,"Mentions audit concern as Elena worry, matching scenario.",,,
2026-05-16T22-06-17,8,2026-05-16T22:07:17,Marcus Chen,llama3.1:8b,custom,"How would you describe your working relationship with Elena? | The call, badge log, and missing drive all point back to you. What are you leaving out? | Where were you between 9:00 PM and 10:30 PM?",Did you notice anyone acting strangely?,"No... nothing out of the ordinary that I can think of. Just the usual stress and tension that comes with working on a tight deadline, I suppose. But like I said, Elena was pretty focused on getting everything ready for the audit, so maybe she seemed a bit more frazzled than usual.",CONSISTENT_TRUTH,Reports no strange behavior; no contradiction or major unsupported claim.,,,
2026-05-16T22-06-17,9,2026-05-16T22:07:23,Marcus Chen,llama3.1:8b,custom,"The call, badge log, and missing drive all point back to you. What are you leaving out? | Where were you between 9:00 PM and 10:30 PM? | When did you last see Elena Park alive?",When did you hear that Elena had died?,I found out when someone from security called me around 10:30 PM. They told me there was an incident in Elena's office and I should come down to the lobby if I wanted more information. That's when I realized something was really wrong.,UNSUPPORTED_FACT,Invents a security call around 10:30 PM as discovery timing.,,,
2026-05-16T22-06-17,10,2026-05-16T22:07:29,Marcus Chen,llama3.1:8b,custom,Where were you between 9:00 PM and 10:30 PM? | When did you last see Elena Park alive? | Why did Elena call you at 9:12 PM?,How did you react when you heard the news?,"I was shocked, of course. I couldn't believe it. I mean, we'd just seen her a few hours before, and... it was just unbelievable. I think I might have even called my wife to come pick me up from the office. I didn't know what else to do at that point.",UNSUPPORTED_FACT,Invents calling his wife to pick him up from the office.,,,
