judge_model,label,support,precision,recall,f1,tp,fp,fn
llama3.1:8b,CONSISTENT_TRUTH,51,0.396,0.706,0.507,36,55,15
llama3.1:8b,STRATEGIC_LIE,82,0.649,0.585,0.615,48,26,34
llama3.1:8b,DESIGNED_SLIP,12,0.714,0.417,0.526,5,2,7
llama3.1:8b,UNINTENDED_INCONSISTENCY,12,0.0,0.0,0.0,0,0,12
llama3.1:8b,UNSUPPORTED_FACT,11,0.0,0.0,0.0,0,0,11
llama3.1:8b,FAILURE,4,0.0,0.0,0.0,0,0,4
qwen2.5:7b-instruct,CONSISTENT_TRUTH,51,0.414,0.471,0.44,24,34,27
qwen2.5:7b-instruct,STRATEGIC_LIE,82,0.5,0.634,0.559,52,52,30
qwen2.5:7b-instruct,DESIGNED_SLIP,12,0.222,0.167,0.19,2,7,10
qwen2.5:7b-instruct,UNINTENDED_INCONSISTENCY,12,0.0,0.0,0.0,0,0,12
qwen2.5:7b-instruct,UNSUPPORTED_FACT,11,1.0,0.091,0.167,1,0,10
qwen2.5:7b-instruct,FAILURE,4,0.0,0.0,0.0,0,0,4
