judge_model,label,support,precision,recall,f1,tp,fp,fn
llama3.1:8b,CONSISTENT_TRUTH,1,1.0,1.0,1.0,1,0,0
llama3.1:8b,STRATEGIC_LIE,2,1.0,1.0,1.0,2,0,0
llama3.1:8b,DESIGNED_SLIP,0,0.0,0.0,0.0,0,0,0
llama3.1:8b,UNINTENDED_INCONSISTENCY,0,0.0,0.0,0.0,0,0,0
llama3.1:8b,UNSUPPORTED_FACT,0,0.0,0.0,0.0,0,0,0
llama3.1:8b,FAILURE,0,0.0,0.0,0.0,0,0,0
qwen2.5:7b-instruct,CONSISTENT_TRUTH,1,1.0,1.0,1.0,1,0,0
qwen2.5:7b-instruct,STRATEGIC_LIE,2,1.0,1.0,1.0,2,0,0
qwen2.5:7b-instruct,DESIGNED_SLIP,0,0.0,0.0,0.0,0,0,0
qwen2.5:7b-instruct,UNINTENDED_INCONSISTENCY,0,0.0,0.0,0.0,0,0,0
qwen2.5:7b-instruct,UNSUPPORTED_FACT,0,0.0,0.0,0.0,0,0,0
qwen2.5:7b-instruct,FAILURE,0,0.0,0.0,0.0,0,0,0
